BRANCH,Hod_NAME,CONTACT_NUMBER,MAIL_ID,DEPARTMENT
BT,Dr. M.N. Nagendra Prasad,080-25021,biotechnology@sjce.ac.in,BIOTECHNOLOGY
CSE,Dr.Pushpalatha M P,080-25022,computerscience@sjce.ac.in,COMPUTER SCIENCE AND ENGINEERING
CV,Dr. K. Prakash,080-25023,civilengineering@sjce.ac.in,CIVIL ENGINEERING
ECE,Dr. N Shankaraiah,080-25024,electronicsandcommunication@sjce.ac.in,ELECTRONICS AND COMMUNICATION ENGINEERING
EEE,Dr. M S. Shashikala,080-25025,eletricalandelectronics@sjce.ac.in,ELECTRICAL AND ELECTRONICS ENGINEERING
ISE,Dr. B S Mahanand,080-25025,informationscience@sjce.ac.in,INFORMATION SCIENCE AND ENGINEERING
ME,Dr. K Chandrashekara,080-25026,mechanical@sjce.ac.in,MECHANICAL ENGINEERING
CSBS,Dr. B S Mahanand,080-25027,csbs@sjce.ac.in,INFORMATION SCIENCE AND ENGINEERING
IT,Dr. V Udayashankara,080-25028,instrumentationtechnology@sjce.ac.in,INSTRUMENTATION TECHNOLOGY
IP,Dr. T.R.Srinivas,080-25029,industrialandproduction@sjce.ac.in,INDUSTRIAL AND PRODUCTION ENGINEERING
